fid,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,provenance,supply_date,Latitude,Longitude
7363,7363,103926864,West Middlesex University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,516548,176294,1,1.00023E+11,osgb1000003179807,9,21599901,3,29.4,,Twickenham Road,Isleworth,Greater London,TW7 6AF,Hounslow London Boro,2085602121,Wilmington Healthcare Ltd,2023/3/1,-0.323276239,51.47361399
7577,7577,103975425,Fulham Wing (Royal Brompton Hospital),5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526873,178394,1,217032984,osgb1000004323266,6,21700218,1,16.2,,Fulham Road,London,Greater London,SW3 6HP,Kensington and Chelsea London Boro,2073528121,Wilmington Healthcare Ltd,2023/3/1,-0.173935652,51.49026882
7596,7596,104584927,Queen Mary's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,522261,174418,1,121052762,osgb1000001796512868,5,22904379,1,92.9,Queen Marys Hospital,Roehampton Lane,London,Greater London,SW15 5PN,Wandsworth London Boro,2084876000,Wilmington Healthcare Ltd,2023/3/1,-0.24170598,51.45554946
7598,7598,104584930,Teddington Memorial Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,515439,170953,1,1.00023E+11,osgb1000003067230,10,22403537,1,73.6,,Hampton Road,Teddington,Greater London,TW11 0JL,Richmond upon Thames London Boro,2087144000,Wilmington Healthcare Ltd,2023/3/1,-0.340977995,51.42583748
7604,7604,108408913,Wilson Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,527876,168073,1,48018788,osgb1000005110060,5,22101689,1,75.6,,Cranmer Road,Mitcham,Greater London,CR4 4TP,Merton London Boro,2086483021,Wilmington Healthcare Ltd,2023/3/1,-0.163220943,51.39728709
7619,7619,104584787,St Michael's Primary Care Centre,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532637,197642,1,,osgb1000005941487,5,20702746,3,55.7,Gater Drive,,Enfield,Greater London,EN2 0JB,Enfield London Boro,2083752894,Wilmington Healthcare Ltd,2023/3/1,-0.083697742,51.66191797
7663,7663,110595408,St Bernard's Hospital Site,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,514536,179931.3,1,12177291,osgb1000003000072,19,20602324,1,250.6,The Orchard Unit St Bernards Hospital,Uxbridge Road,Southall,Greater London,UB1 3EU,Ealing London Boro,2083548354,Wilmington Healthcare Ltd,2023/3/1,-0.351053825,51.50671638
7671,7671,110595778,Guy's Cancer Centre,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,546497.2,170947.8,1,10094789132,osgb5000005192206786,1,20100583,1,204.8,Guy's Cancer Centre Queen Marys Hospital,Frognal Avenue,Sidcup,Greater London,DA14 6LT,Bexley London Boro,2083022678,Wilmington Healthcare Ltd,2023/3/1,0.105453072,51.41862102
7677,7677,109121575,Barking Community Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,545648.9,184271.7,1,100100148,osgb1000007377857,5,19900611,1,177.5,Barking Hospital,Upney Lane,Barking,Greater London,IG11 9LX,Barking and Dagenham London Boro,2036442301,Wilmington Healthcare Ltd,2023/3/1,0.098752436,51.53856233
7694,7694,110595547,Chase Farm Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,531219.4,198118.1,1,207183897,osgb5000005229213869,1,20703006,1,220.1,,The Ridgeway,Enfield,Greater London,EN2 8JL,Enfield London Boro,2083751185,Wilmington Healthcare Ltd,2023/3/1,-0.104003127,51.6665289
7714,7714,110595562,University Hospital Lewisham,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,537874,174681,1,,osgb1000041787256,5,22004177,2,70.9,University Hospital Lewisham,Lewisham High Street,London,Greater London,SE13 6LH,Lewisham London Boro,2083333000,Wilmington Healthcare Ltd,2023/3/1,-0.017025192,51.45432935
7715,7715,110595563,Lambeth Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530534,175710,1,1.00023E+11,osgb1000042510520,12,21900834,1,163.9,Lambeth Hospital 108,Landor Road,London,Greater London,SW9 9NU,Lambeth London Boro,2032286157,Wilmington Healthcare Ltd,2023/3/1,-0.122223443,51.46531586
7731,7731,114604004,Homerton Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,535570,185336,1,10008242319,osgb1000006316249,26,20900535,1,127,,Homerton Row,"Hackney, London",Greater London,E9 6SR,Hackney London Boro,2085105555,Wilmington Healthcare Ltd,2023/3/1,-0.046071817,51.55063507
7801,7801,145902212,West Valley Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532302,166252,1,10090382437,osgb5000005209703049,1,20501433,1,25.8,Interchange 81-85,Station Road,Croydon,Greater London,CR0 2RD,Croydon London Boro,2037802504,Wilmington Healthcare Ltd,2023/3/1,-0.100314736,51.37990917
